,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
2,Hakha,19528.0,964.0,5.0,Chin,13907.0,14995.0,Hare Liam Kio,CNLD,18,2478
3,Hakha,19528.0,964.0,5.0,Chin,13907.0,14995.0,Mang Liam,NLD,17,2389
0,Thantlang,25604.0,974.0,5.0,Chin,19258.0,20255.0,Dr. Hmu Tang,Independ.,38,7322
1,Thantlang,25604.0,974.0,5.0,Chin,19258.0,20255.0,Non Ok,CNLD,28,5463
2,Thantlang,25604.0,974.0,5.0,Chin,19258.0,20255.0,Ngwe Soe,NLD,17,3199
3,Thantlang,25604.0,974.0,5.0,Chin,19258.0,20255.0,Hmon Kio,NUP,17,3178
0,Tonzang,12899.0,984.0,3.0,Chin,9582.0,9923.0,Tan Tang Lian Pau,ZNC,36,3483
1,Tonzang,12899.0,984.0,3.0,Chin,9582.0,9923.0,Kham Khang Tang,NLD,35,3401
2,Tonzang,12899.0,984.0,3.0,Chin,9582.0,9923.0,Lian Gyi,NUP,28,2698
0,Tiddim-1,18651.0,993.0,4.0,Chin,13137.0,13831.0,Ngint Tang,NLD,44,5716
1,Tiddim-1,18651.0,993.0,4.0,Chin,13137.0,13831.0,Pu Wont Za Kap,ZNC,27,3481
2,Tiddim-1,18651.0,993.0,4.0,Chin,13137.0,13831.0,Col. Cin Kho Win,NUP,26,3413
0,Tiddim-2,18180.0,1001.0,4.0,Chin,13021.0,13674.0,Pu Kyint Shin Htang,ZNC,42,5408
1,Tiddim-2,18180.0,1001.0,4.0,Chin,13021.0,13674.0,C Vin Kyu,NLD,24,3159
2,Tiddim-2,18180.0,1001.0,4.0,Chin,13021.0,13674.0,Pau Do Nan,NUP,22,2915
3,Tiddim-2,18180.0,1001.0,4.0,Chin,13021.0,13674.0,Soon Kyint Liam,LDP,12,1539
0,Daze-1,39720.0,1010.0,4.0,Sagaing,23970.0,28921.0,Lt-Col Kyaw Hsan,NLD,79,18862
1,Daze-1,39720.0,1010.0,4.0,Sagaing,23970.0,28921.0,Kyaw Htein,NUP,19,4617
0,Daze-2,40555.0,1014.0,4.0,Sagaing,24742.0,29560.0,Pe Than,NLD,66,16387
1,Daze-2,40555.0,1014.0,4.0,Sagaing,24742.0,29560.0,Saw Maung,NUP,28,7009
